Sample,PWM,Motor Speed (RPM)
5055,80,23.96
5056,80,22.12
5057,80,23.96
5058,80,22.12
5059,80,23.96
5060,80,23.04
5061,80,23.04
5062,80,23.96
5063,80,22.12
5064,80,23.96
5065,80,22.12
5066,80,23.96
5067,80,22.12
5068,80,23.96
5069,80,23.04
5070,80,23.04
5071,80,23.96
5072,80,22.12
5073,80,23.96
5074,80,22.12
5075,80,23.96
5076,80,23.04
5077,80,23.04
5078,80,23.96
5079,80,22.12
5080,80,23.96
5081,80,22.12
5082,80,23.96
5083,80,23.04
5084,80,23.04
5085,80,23.04
5086,80,23.04
5087,80,23.96
5088,80,22.12
5089,80,23.96
5090,80,23.04
5091,80,23.04
5092,80,23.04
5093,80,23.04
5094,80,23.96
5095,80,22.12
5096,80,23.96
5097,80,22.12
5098,80,23.96
5099,80,22.12
5100,80,23.96
5101,80,22.12
5102,80,23.96
5103,80,23.04
5104,80,23.04
5105,80,23.04
5106,80,23.04
5107,80,23.04
5108,80,23.04
5109,80,23.04
5110,80,23.04
5111,80,23.04
5112,80,23.04
5113,80,23.04
5114,80,23.04
5115,80,22.12
5116,80,23.96
5117,80,22.12
5118,80,23.96
5119,80,22.12
5120,80,23.96
5121,80,22.12
5122,80,23.04
5123,80,23.04
5124,80,23.04
5125,80,23.04
5126,80,22.12
5127,80,23.96
5128,80,22.12
5129,80,23.96
5130,80,22.12
5131,80,23.04
5132,80,23.04
5133,80,23.04
5134,80,23.04
5135,80,22.12
5136,80,23.96
5137,80,22.12
5138,80,23.96
5139,80,22.12
5140,80,23.96
5141,80,22.12
5142,80,23.04
5143,80,23.04
5144,80,23.04
5145,80,23.04
5146,80,22.12
5147,80,23.96
5148,80,22.12
5149,80,23.96
5150,80,22.12
5151,80,23.96
5152,80,22.12
5153,80,23.04
5154,80,23.04
5155,80,23.04
5156,80,23.04
5157,80,22.12
5158,80,23.96
5159,80,22.12
5160,80,23.96
5161,80,22.12
5162,80,23.96
5163,80,22.12
5164,80,23.96
5165,80,22.12
5166,80,23.96
5167,80,22.12
5168,80,23.96
5169,80,22.12
