Sample,PWM,Motor Speed (RPM),Filtered Motor Speed (RPM)
1,80,3.84,
2,80,6.58,6.85
3,80,10.14,9.87
4,80,12.9,12.9
5,80,15.67,15.05
6,80,16.59,16.59
7,80,17.51,17.51
8,80,18.43,18.74
9,80,20.28,19.66
10,80,20.28,20.28
11,80,20.28,20.28
12,80,20.28,20.89
13,80,22.12,21.51
14,80,22.12,21.81
15,80,21.2,21.81
16,80,22.12,21.81
17,80,22.12,22.43
18,80,23.04,22.43
19,80,22.12,22.43
20,80,22.12,22.43
21,80,23.04,22.73
22,80,23.04,22.73
23,80,22.12,23.04
24,80,23.96,22.73
25,80,22.12,23.04
26,80,23.04,22.73
27,80,23.04,22.73
28,80,22.12,23.04
29,80,23.96,22.73
30,80,22.12,23.35
31,80,23.96,22.73
32,80,22.12,23.35
33,80,23.96,23.04
34,80,23.04,23.35
35,80,23.04,23.04
36,80,23.04,23.04
37,80,23.04,23.04
38,80,23.04,23.04
39,80,23.04,23.04
40,80,23.04,23.04
41,80,23.04,23.04
42,80,23.04,23.04
43,80,23.04,23.04
44,80,23.04,23.04
45,80,23.04,23.04
46,80,23.04,23.04
47,80,23.04,23.04
48,80,23.04,23.04
49,80,23.04,23.04
50,80,23.04,23.04
51,80,23.04,23.04
52,80,23.04,23.04
53,80,23.04,23.04
54,80,23.04,23.04
55,80,23.04,23.04
56,80,23.04,23.04
57,80,23.04,23.04
58,80,23.04,23.04
59,80,23.04,23.04
60,80,23.04,23.04
61,80,23.04,23.04
62,80,23.04,23.04
63,80,23.04,23.04
64,80,23.04,23.04
65,80,23.04,23.04
66,80,23.04,23.04
67,80,23.04,23.35
68,80,23.96,23.04
69,80,22.12,23.35
70,80,23.96,22.73
71,80,22.12,23.35
72,80,23.96,22.73
73,80,22.12,23.35
74,80,23.96,22.73
75,80,22.12,23.35
76,80,23.96,22.73
77,80,22.12,23.35
78,80,23.96,22.73
79,80,22.12,23.35
80,80,23.96,22.73
81,80,22.12,23.35
82,80,23.96,22.73
83,80,22.12,23.35
84,80,23.96,22.73
85,80,22.12,23.35
86,80,23.96,22.73
87,80,22.12,23.35
88,80,23.96,23.04
89,80,23.04,23.35
90,80,23.04,23.04
91,80,23.04,23.04
92,80,23.04,23.04
93,80,23.04,23.04
94,80,23.04,23.04
95,80,23.04,23.04
96,80,23.04,23.35
97,80,23.96,23.04
98,80,22.12,23.35
99,80,23.96,22.73
100,80,22.12,23.35
101,80,23.96,22.73
102,80,22.12,23.35
103,80,23.96,22.73
104,80,22.12,23.35
105,80,23.96,22.73
106,80,22.12,23.35
107,80,23.96,22.73
108,80,22.12,23.35
109,80,23.96,22.73
110,80,22.12,23.35
111,80,23.96,22.73
112,80,22.12,23.35
113,80,23.96,22.73
114,80,22.12,23.35
115,80,23.96,22.73
116,80,22.12,23.35
117,80,23.96,22.73
118,80,22.12,23.35
119,80,23.96,23.04
120,80,23.04,23.35
121,80,23.04,23.04
122,80,23.04,23.04
123,80,23.04,23.04
124,80,23.04,23.04
125,80,23.04,23.35
126,80,23.96,23.04
127,80,22.12,23.35
128,80,23.96,22.73
129,80,22.12,23.35
130,80,23.96,22.73
131,80,22.12,23.35
132,80,23.96,23.04
133,80,23.04,23.35
134,80,23.04,23.04
135,80,23.04,23.04
136,80,23.04,23.35
137,80,23.96,23.04
138,80,22.12,23.35
139,80,23.96,22.73
140,80,22.12,23.35
141,80,23.96,22.73
142,80,22.12,23.35
143,80,23.96,22.73
144,80,22.12,23.35
145,80,23.96,23.04
146,80,23.04,23.35
147,80,23.04,23.04
148,80,23.04,23.04
149,80,23.04,23.35
150,80,23.96,23.04
151,80,22.12,23.35
152,80,23.96,22.73
153,80,22.12,23.35
154,80,23.96,22.73
155,80,22.12,23.35
156,80,23.96,22.73
157,80,22.12,23.35
158,80,23.96,23.04
159,80,23.04,23.35
160,80,23.04,23.04
161,80,23.04,23.04
162,80,23.04,23.04
163,80,23.04,23.04
164,80,23.04,23.35
165,80,23.96,23.04
166,80,22.12,23.35
167,80,23.96,22.73
168,80,22.12,23.35
169,80,23.96,22.73
170,80,22.12,23.04
171,80,23.04,22.73
172,80,23.04,23.04
173,80,23.04,23.04
174,80,23.04,22.73
175,80,22.12,23.04
176,80,23.96,22.73
177,80,22.12,23.35
178,80,23.96,22.73
179,80,22.12,23.35
180,80,23.96,22.73
181,80,22.12,23.35
182,80,23.96,22.73
183,80,22.12,23.04
184,80,23.04,22.73
185,80,23.04,23.04
186,80,23.04,23.04
187,80,23.04,22.73
188,80,22.12,23.04
189,80,23.96,22.73
190,80,22.12,23.35
191,80,23.96,22.73
192,80,22.12,23.35
193,80,23.96,22.73
194,80,22.12,23.04
195,80,23.04,22.73
